#cassette	component type or tool_uses	tool or CV term	pub_curies	internal_note	where tool data came from
FBti0167947_cas	tagged_with	FBto0000027	FBrf0225747		TOOL DATA from: FBal0302198
FBti0209777_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355517
FBti0209777_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355517
FBti0209777_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355518
FBti0209777_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355518
FBti0209778_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355519
FBti0209778_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355519
FBti0209778_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355520
FBti0209778_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355520
FBti0209779_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355521
FBti0209779_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355521
FBti0209779_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355522
FBti0209779_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355522
FBti0209780_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355523
FBti0209780_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355523
FBti0209780_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355524
FBti0209780_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355524
FBti0209781_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355525
FBti0209781_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355525
FBti0209781_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355526
FBti0209781_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355526
FBti0209782_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355527
FBti0209782_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355527
FBti0209782_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355528
FBti0209782_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355528
FBti0209783_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355529
FBti0209783_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355529
FBti0209783_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355530
FBti0209783_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355530
FBti0209784_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355531
FBti0209784_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355531
FBti0209784_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355532
FBti0209784_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355532
FBti0209784_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355533
FBti0209784_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355533
FBti0209785_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355534
FBti0209785_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355534
FBti0209785_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355535
FBti0209785_cas	carries_tool	FBto0000356	FBrf0243924		TOOL DATA from: FBal0355535
FBti0209788_cas				FTA: unable to add tool information from FBal0355581 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0209790_cas				FTA: unable to add tool information from FBal0355588 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0209800_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0209800_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0209801_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209801_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209801_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355630
FBti0209801_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355630
FBti0209801_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355961
FBti0209802_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209802_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209802_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355631
FBti0209802_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355631
FBti0209802_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355855
FBti0209803_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209803_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209803_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355632
FBti0209803_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355632
FBti0209803_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355962
FBti0209804_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209804_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209804_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355633
FBti0209804_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355633
FBti0209804_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355856
FBti0209805_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209805_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209805_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355634
FBti0209805_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355634
FBti0209805_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355963
FBti0209806_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209806_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209806_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355635
FBti0209806_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355635
FBti0209806_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355857
FBti0209807_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209807_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209807_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355636
FBti0209807_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355636
FBti0209807_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355964
FBti0209808_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209808_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209808_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355637
FBti0209808_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355637
FBti0209808_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355858
FBti0209809_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209809_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209809_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355638
FBti0209809_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355638
FBti0209809_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355965
FBti0209810_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209810_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209810_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355639
FBti0209810_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355639
FBti0209810_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355859
FBti0209811_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209811_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209811_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355640
FBti0209811_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355640
FBti0209811_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355966
FBti0209812_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209812_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209812_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355641
FBti0209812_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355641
FBti0209812_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355860
FBti0209813_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209813_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209813_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355642
FBti0209813_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355642
FBti0209813_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355967
FBti0209814_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209814_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209814_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355643
FBti0209814_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355643
FBti0209814_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355861
FBti0209815_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209815_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209815_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355644
FBti0209815_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355644
FBti0209815_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355956
FBti0209816_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209816_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209816_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355645
FBti0209816_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355645
FBti0209816_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355862
FBti0209817_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209817_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209817_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355646
FBti0209817_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355646
FBti0209817_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355968
FBti0209818_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209818_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209818_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355647
FBti0209818_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355647
FBti0209818_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355969
FBti0209819_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209819_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209819_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355648
FBti0209819_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355648
FBti0209819_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355970
FBti0209820_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209820_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209820_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355649
FBti0209820_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355649
FBti0209820_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355971
FBti0209821_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209821_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209821_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355650
FBti0209821_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355650
FBti0209821_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355863
FBti0209822_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209822_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209822_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355651
FBti0209822_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355651
FBti0209822_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355864
FBti0209823_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209823_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209823_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355652
FBti0209823_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355652
FBti0209823_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355972
FBti0209824_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209824_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209824_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355653
FBti0209824_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355653
FBti0209824_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355865
FBti0209825_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209825_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209825_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355654
FBti0209825_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355654
FBti0209825_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355973
FBti0209826_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209826_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209826_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355655
FBti0209826_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355655
FBti0209826_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355866
FBti0209827_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209827_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209827_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355656
FBti0209827_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355656
FBti0209827_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355974
FBti0209828_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209828_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209828_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355657
FBti0209828_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355657
FBti0209828_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355867
FBti0209829_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209829_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209829_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355658
FBti0209829_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355658
FBti0209829_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355975
FBti0209830_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209830_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209830_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355659
FBti0209830_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355659
FBti0209830_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355976
FBti0209831_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209831_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209831_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355660
FBti0209831_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355660
FBti0209831_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355868
FBti0209832_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209832_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209832_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355661
FBti0209832_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355661
FBti0209832_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355869
FBti0209833_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209833_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209833_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355662
FBti0209833_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355662
FBti0209833_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355977
FBti0209834_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209834_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209834_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355663
FBti0209834_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355663
FBti0209834_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355870
FBti0209835_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209835_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209835_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355664
FBti0209835_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355664
FBti0209835_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355978
FBti0209836_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209836_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209836_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355665
FBti0209836_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355665
FBti0209836_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355979
FBti0209837_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209837_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209837_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355666
FBti0209837_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355666
FBti0209837_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355871
FBti0209838_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209838_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209838_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355667
FBti0209838_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355667
FBti0209838_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355980
FBti0209839_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209839_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209839_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355668
FBti0209839_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355668
FBti0209839_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355872
FBti0209840_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209840_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209840_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355669
FBti0209840_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355669
FBti0209840_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355981
FBti0209841_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209841_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209841_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355670
FBti0209841_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355670
FBti0209841_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355873
FBti0209842_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209842_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209842_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355671
FBti0209842_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355671
FBti0209842_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355874
FBti0209843_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209843_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209843_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355672
FBti0209843_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355672
FBti0209843_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355982
FBti0209844_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209844_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209844_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355673
FBti0209844_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355673
FBti0209844_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355875
FBti0209845_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209845_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209845_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355674
FBti0209845_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355674
FBti0209845_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355983
FBti0209846_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209846_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209846_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355675
FBti0209846_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355675
FBti0209846_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355876
FBti0209847_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209847_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209847_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355676
FBti0209847_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355676
FBti0209847_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355984
FBti0209848_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209848_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209848_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355677
FBti0209848_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355677
FBti0209848_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355877
FBti0209849_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209849_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209849_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355678
FBti0209849_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355678
FBti0209849_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355985
FBti0209850_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209850_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209850_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355679
FBti0209850_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355679
FBti0209850_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355878
FBti0209851_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209851_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209851_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355680
FBti0209851_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355680
FBti0209851_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355986
FBti0209852_cas	encodes_tool	FBto0000153			TOOL DATA from: FBtp0140110
FBti0209852_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0140110
FBti0209852_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355681
FBti0209852_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355681
FBti0209852_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355879
FBti0209853_cas	encodes_tool	FBto0000155			TOOL DATA from: FBtp0128006
FBti0209853_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128006
FBti0209853_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355682
FBti0209853_cas	tagged_with	FBto0000093	FBrf0243924		TOOL DATA from: FBal0355682
FBti0209853_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355880
FBti0209854_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0128007
FBti0209854_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0128007
FBti0209854_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355683
FBti0209854_cas	tagged_with	FBto0000079	FBrf0243924		TOOL DATA from: FBal0355683
FBti0209854_cas	carries_tool	FBto0000349	FBrf0243924		TOOL DATA from: FBal0355987
